Type,Year,Location,number_of_slugs,total_slug_dry_mass,mean_slug_dry_mass
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2020,BCB,1,0.02976,0.02976
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2020,BCB,0,0,
Absent,2021,BCB,1,0.06998,0.06998
Absent,2021,BCB,1,0.02901,0.02901
Absent,2021,BCB,1,0.02185,0.02185
Absent,2021,BCB,1,0.00519,0.00519
Absent,2021,BCB,1,0.14225,0.14225
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
Absent,2021,BCB,0,0,
